Length,Left,Right,Bottom,Top,Diagonal,Source
214.8,131,131.1,9,9.7,141, counterfeit
214.6,129.7,129.7,8.1,9.5,141.7, counterfeit
214.8,129.7,129.7,8.7,9.6,142.2, counterfeit
214.8,129.7,129.6,7.5,10.4,142, counterfeit
215,129.6,129.7,10.4,7.7,141.8, counterfeit
215.7,130.8,130.5,9,10.1,141.4, counterfeit
215.5,129.5,129.7,7.9,9.6,141.6, counterfeit
214.5,129.6,129.2,7.2,10.7,141.7, counterfeit
214.9,129.4,129.7,8.2,11,141.9, counterfeit
215.2,130.4,130.3,9.2,10,140.7, counterfeit
215.3,130.4,130.3,7.9,11.7,141.8, counterfeit
215.1,129.5,129.6,7.7,10.5,142.2, counterfeit
215.2,130.8,129.6,7.9,10.8,141.4, counterfeit
214.7,129.7,129.7,7.7,10.9,141.7, counterfeit
215.1,129.9,129.7,7.7,10.8,141.8, counterfeit
214.5,129.8,129.8,9.3,8.5,141.6, counterfeit
214.6,129.9,130.1,8.2,9.8,141.7, counterfeit
215,129.9,129.7,9,9,141.9, counterfeit
215.2,129.6,129.6,7.4,11.5,141.5, counterfeit
214.7,130.2,129.9,8.6,10,141.9, counterfeit
215,129.9,129.3,8.4,10,141.4, counterfeit
215.6,130.5,130,8.1,10.3,141.6, counterfeit
215.3,130.6,130,8.4,10.8,141.5, counterfeit
215.7,130.2,130,8.7,10,141.6, counterfeit
215.1,129.7,129.9,7.4,10.8,141.1, counterfeit
215.3,130.4,130.4,8,11,142.3, counterfeit
215.5,130.2,130.1,8.9,9.8,142.4, counterfeit
215.1,130.3,130.3,9.8,9.5,141.9, counterfeit
215.1,130,130,7.4,10.5,141.8, counterfeit
214.8,129.7,129.3,8.3,9,142, counterfeit
215.2,130.1,129.8,7.9,10.7,141.8, counterfeit
214.8,129.7,129.7,8.6,9.1,142.3, counterfeit
215,130,129.6,7.7,10.5,140.7, counterfeit
215.6,130.4,130.1,8.4,10.3,141, counterfeit
215.9,130.4,130,8.9,10.6,141.4, counterfeit
214.6,130.2,130.2,9.4,9.7,141.8, counterfeit
215.5,130.3,130,8.4,9.7,141.8, counterfeit
215.3,129.9,129.4,7.9,10,142, counterfeit
215.3,130.3,130.1,8.5,9.3,142.1, counterfeit
213.9,130.3,129,8.1,9.7,141.3, counterfeit
214.4,129.8,129.2,8.9,9.4,142.3, counterfeit
214.8,130.1,129.6,8.8,9.9,140.9, counterfeit
214.9,129.6,129.4,9.3,9,141.7, counterfeit
214.9,130.4,129.7,9,9.8,140.9, counterfeit
214.8,129.4,129.1,8.2,10.2,141, counterfeit
214.3,129.5,129.4,8.3,10.2,141.8, counterfeit
214.8,129.9,129.7,8.3,10.2,141.5, counterfeit
214.8,129.9,129.7,7.3,10.9,142, counterfeit
214.6,129.7,129.8,7.9,10.3,141.1, counterfeit
214.5,129,129.6,7.8,9.8,142, counterfeit
214.6,129.8,129.4,7.2,10,141.3, counterfeit
215.3,130.6,130,9.5,9.7,141.1, counterfeit
214.5,130.1,130,7.8,10.9,140.9, counterfeit
215.4,130.2,130.2,7.6,10.9,141.6, counterfeit
214.5,129.4,129.5,7.9,10,141.4, counterfeit
215.2,129.7,129.4,9.2,9.4,142, counterfeit
215.7,130,129.4,9.2,10.4,141.2, counterfeit
215,129.6,129.4,8.8,9,141.1, counterfeit
215.1,130.1,129.9,7.9,11,141.3, counterfeit
215.1,130,129.8,8.2,10.3,141.4, counterfeit
215.1,129.6,129.3,8.3,9.9,141.6, counterfeit
215.3,129.7,129.4,7.5,10.5,141.5, counterfeit
215.4,129.8,129.4,8,10.6,141.5, counterfeit
214.5,130,129.5,8,10.8,141.4, counterfeit
215,130,129.8,8.6,10.6,141.5, counterfeit
215.2,130.6,130,8.8,10.6,140.8, counterfeit
214.6,129.5,129.2,7.7,10.3,141.3, counterfeit
214.8,129.7,129.3,9.1,9.5,141.5, counterfeit
215.1,129.6,129.8,8.6,9.8,141.8, counterfeit
214.9,130.2,130.2,8,11.2,139.6, counterfeit
213.8,129.8,129.5,8.4,11.1,140.9, counterfeit
215.2,129.9,129.5,8.2,10.3,141.4, counterfeit
215,129.6,130.2,8.7,10,141.2, counterfeit
214.4,129.9,129.6,7.5,10.5,141.8, counterfeit
215.2,129.9,129.7,7.2,10.6,142.1, counterfeit
214.1,129.6,129.3,7.6,10.7,141.7, counterfeit
214.9,129.9,130.1,8.8,10,141.2, counterfeit
214.6,129.8,129.4,7.4,10.6,141, counterfeit
215.2,130.5,129.8,7.9,10.9,140.9, counterfeit
214.6,129.9,129.4,7.9,10,141.8, counterfeit
215.1,129.7,129.7,8.6,10.3,140.6, counterfeit
214.9,129.8,129.6,7.5,10.3,141, counterfeit
215.2,129.7,129.1,9,9.7,141.9, counterfeit
