Length,Left,Right,Bottom,Top,Diagonal,Source
214.8,131,131.1,9,9.7,141, counterfeit
214.6,129.7,129.7,8.1,9.5,141.7, counterfeit
214.8,129.7,129.7,8.7,9.6,142.2, counterfeit
214.8,129.7,129.6,7.5,10.4,142, counterfeit
215,129.6,129.7,10.4,7.7,141.8, counterfeit
215.7,130.8,130.5,9,10.1,141.4, counterfeit
215.5,129.5,129.7,7.9,9.6,141.6, counterfeit
214.5,129.6,129.2,7.2,10.7,141.7, counterfeit
214.9,129.4,129.7,8.2,11,141.9, counterfeit
215.2,130.4,130.3,9.2,10,140.7, counterfeit
215.3,130.4,130.3,7.9,11.7,141.8, counterfeit
215.1,129.5,129.6,7.7,10.5,142.2, counterfeit
215.2,130.8,129.6,7.9,10.8,141.4, counterfeit
214.7,129.7,129.7,7.7,10.9,141.7, counterfeit
215.1,129.9,129.7,7.7,10.8,141.8, counterfeit
