RowId,ChartType,ChartArea,Factor,XKind,XValue,YKind,YValue
1,Point,1,A,N,1.0,Raw,3.2
2,Point,1,A,N,2.0,Raw,3.8
3,Point,1,A,N,3.0,Raw,3.9
4,Point,1,A,N,4.0,Raw,3.4
5,Point,1,A,N,5.0,Raw,3.5
6,Point,1,A,N,6.0,Raw,3.2
7,Point,1,A,N,7.0,Raw,3.7
8,Point,1,A,N,8.0,Raw,3.1
9,Point,1,B,N,1.1,Raw,3.25
10,Point,1,B,N,2.2,Raw,3.85
11,Point,1,B,N,3.3,Raw,3.95
12,Point,1,B,N,4.4,Raw,3.45
13,Point,1,B,N,5.5,Raw,3.55
14,Point,1,B,N,6.6,Raw,3.25
15,Point,1,B,N,7.7,Raw,3.75
16,Point,1,B,N,8.8,Raw,3.15
17,Point,1,C,N,1.2,Raw,3.29
18,Point,1,C,N,2.3,Raw,3.89
19,Point,1,C,N,3.4,Raw,3.99
20,Point,1,C,N,4.5,Raw,3.49
21,Point,1,C,N,5.6,Raw,3.59
22,Point,1,C,N,6.7,Raw,3.29
23,Point,1,C,N,7.8,Raw,3.79
24,Point,1,C,N,8.9,Raw,3.19
